t,control_mode,slam_algorithm,localization_mode,task_id,task_state,motion_mode,planner_mode,active_tool,b1_station,robot_x,robot_y,robot_theta,est_x,est_y,est_theta,pose_error,kalman_covariance,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,slam_landmarks,slam_updates,slam_new_landmarks,grid_occupied_cells,grid_free_cells,grid_updates,grid_entropy,scan_match_score,cartographer_submaps,loop_closures,planner_wp_x,planner_wp_y,planner_wp_active,control_v,control_w,control_tv,slam_map,grid_map
0.05,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.85879,-1.8182,1.01196,-1.86,-1.792,1.012,0.02761,0.00278,-2.12,1.76,2.87903,-1.0,0.0,96.0,NORMAL,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.374,0.8976,0.5984,,
0.15,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.84955,-1.80348,1.0092,-1.851,-1.782,1.01,0.03137,0.00114,-2.12,1.76,2.87086,0.47062,0.01045,95.94037,NORMAL,0,0,0,4,18,4,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.53198,0.71941,0.80092,"O1:-2.61,-1.62,s2;O2:-1.31,-2.46,s1;O3:-2.08,-2.46,s4;O4:-2.61,-1.86,s2",
0.3,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.8195,-1.75603,1.00231,-1.821,-1.742,1.004,0.03378,0.00086,-2.12,1.76,2.82838,0.50946,0.00572,95.83135,NORMAL,0,0,0,4,45,4,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.54941,0.71301,0.82161,"O1:-2.60,-1.50,s8;O2:-1.28,-2.46,s4;O3:-2.05,-2.46,s16;O4:-2.60,-1.91,s8",
0.45,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.77944,-1.69516,1.04139,-1.779,-1.687,1.032,0.03321,0.00082,-2.12,1.76,2.76501,0.56608,0.00136,95.72084,NORMAL,0,0,0,5,74,5,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.54998,0.65241,0.83733,"O1:-2.60,-1.45,s14;O2:-1.22,-2.46,s7;O3:-2.02,-2.46,s28;O4:-2.60,-1.88,s14;O5:-0.90,-1.22,s2",
0.6,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.73819,-1.62573,1.127,-1.733,-1.621,1.111,0.03355,0.00082,-2.12,1.76,2.69093,0.63151,0.0,95.6108,NORMAL,0,0,0,5,102,5,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.55,0.5085,0.87333,"O1:-2.60,-1.42,s20;O2:-1.22,-2.46,s7;O3:-1.94,-2.46,s40;O4:-2.59,-1.85,s20;O5:-0.90,-1.22,s5",
0.7,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.71425,-1.57727,1.17239,-1.705,-1.576,1.161,0.03328,0.00082,-2.12,1.76,2.63958,0.67854,0.0,95.53784,NORMAL,0,0,0,5,122,5,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.55,0.43163,0.89255,"O1:-2.59,-1.42,s24;O2:-1.32,-2.46,s8;O3:-1.92,-2.46,s47;O4:-2.59,-1.84,s24;O5:-0.90,-1.22,s9",
0.8,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.69258,-1.52744,1.21155,-1.68,-1.53,1.204,0.03285,0.00082,-2.12,1.76,2.58731,0.65305,0.0,95.46514,NORMAL,0,0,0,5,142,5,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.55,0.36784,0.90849,"O1:-2.59,-1.41,s28;O2:-1.41,-2.46,s10;O3:-1.88,-2.47,s53;O4:-2.59,-1.84,s28;O5:-0.89,-1.19,s13",
0.9,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.67292,-1.47669,1.24529,-1.657,-1.483,1.242,0.03216,0.00082,-2.12,1.76,2.53433,0.62221,0.0,95.39265,NORMAL,0,0,0,5,160,5,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.55,0.31223,0.9224,"O1:-2.59,-1.40,s32;O2:-1.40,-2.46,s12;O3:-1.83,-2.47,s59;O4:-2.58,-1.79,s31;O5:-0.89,-1.16,s17",
1.05,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.6467,-1.39938,1.28542,-1.628,-1.411,1.288,0.03062,0.00082,-2.12,1.76,2.45409,0.59186,0.00206,95.28426,NORMAL,0,0,0,5,176,5,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.55,0.24657,0.93881,"O1:-2.58,-1.43,s36;O2:-1.39,-2.46,s13;O3:-1.68,-2.47,s66;O4:-2.58,-1.72,s34;O5:-0.89,-1.12,s23",
1.15,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.63096,-1.34712,1.30763,-1.612,-1.363,1.313,0.02908,0.00083,-2.12,1.76,2.40024,0.58042,0.00408,95.21218,NORMAL,0,0,0,5,184,5,0,0,0,0.0,0.0,0,0,-1.28,1.0,0,0.55,0.21186,0.94749,"O1:-2.58,-1.44,s38;O2:-1.39,-2.46,s13;O3:-1.68,-2.47,s66;O4:-2.58,-1.69,s36;O5:-0.89,-1.07,s27",
