t,control_mode,slam_algorithm,localization_mode,slam_feature_type,task_id,task_state,motion_mode,planner_mode,active_tool,b1_station,robot_x,robot_y,robot_theta,est_x,est_y,est_theta,pose_error,kalman_covariance,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,slam_feature_count,slam_landmarks,slam_updates,slam_new_landmarks,grid_occupied_cells,grid_free_cells,grid_updates,grid_entropy,scan_match_score,cartographer_submaps,loop_closures,planner_wp_x,planner_wp_y,planner_wp_active,planner_recovery_count,control_v,control_w,control_tv,slam_map,grid_map
0.05,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09996,-2.05777,1.60561,-0.1,-2.053,1.606,0.00672,0.03488,-2.12,1.1,1.46328,-1.0,0.0,96.0,NORMAL,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.374,0.8976,0.5984,,
0.15,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.1001,-2.04317,1.61061,-0.099,-2.031,1.605,0.02004,0.03522,-2.12,1.1,1.46006,0.22455,0.07323,95.94872,NORMAL,0,0,0,2,8,20,8,8,11,20,0.54984,0.0,0,0,-1.46,-1.52,0,0,0.33614,1.27675,0.73105,"O1:0.01,-2.51,s2;O2:-0.17,-2.51,s2","O1:0.01,-2.51,s2;O2:-0.17,-2.51,s2"
0.3,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.09929,-2.01364,1.66834,-0.097,-1.996,1.653,0.0286,0.03573,-2.12,1.1,1.45116,0.25042,0.06396,95.87527,NORMAL,0,0,0,8,8,50,8,8,18,50,0.34969,0.0,0,0,-1.46,-1.52,0,0,0.3448,1.31858,0.7559,"O1:-0.17,-2.51,s8;O2:0.01,-2.51,s8;O3:0.19,-2.51,s4;O4:-0.35,-2.51,s4;O5:-1.07,-1.97,s4;O6:-0.53,-1.25,s4;O7:-1.07,-2.15,s4;O8:-0.71,-1.25,s4","O1:-0.17,-2.51,s8;O2:0.01,-2.51,s8;O3:0.19,-2.51,s4;O4:-0.35,-2.51,s4;O5:-1.07,-1.97,s4;O6:-0.53,-1.25,s4;O7:-1.07,-2.15,s4;O8:-0.71,-1.25,s4"
0.45,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.10087,-1.96619,1.79739,-0.095,-1.949,1.78,0.03538,0.03627,-2.12,1.1,1.4374,0.29103,0.05067,95.79665,NORMAL,0,0,0,9,9,78,9,9,18,78,0.28585,0.0,0,0,-1.46,-1.52,0,0,0.40738,1.31995,0.81883,"O1:-0.17,-2.51,s14;O2:0.01,-2.51,s11;O3:0.19,-2.51,s7;O4:-0.35,-2.51,s7;O5:-1.07,-1.97,s7;O6:-1.07,-2.15,s7;O7:-0.53,-1.25,s7;O8:-0.71,-1.25,s6;O9:0.37,-2.51,s3","O1:-0.17,-2.51,s14;O2:0.01,-2.51,s11;O3:0.19,-2.51,s7;O4:-0.35,-2.51,s7;O5:-1.07,-1.97,s7;O6:-1.07,-2.15,s7;O7:-0.53,-1.25,s7;O8:-0.71,-1.25,s6;O9:0.37,-2.51,s3"
0.6,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.11291,-1.90255,1.99071,-0.103,-1.887,1.96,0.03825,0.03691,-2.12,1.1,1.41243,0.35514,0.03285,95.7041,NORMAL,0,0,0,9,9,104,9,9,20,104,0.27977,0.0,0,0,-1.46,-1.52,0,0,0.49624,1.32,0.90769,"O1:-0.17,-2.51,s17;O2:0.01,-2.51,s17;O3:-0.53,-1.25,s11;O4:-1.07,-1.97,s10;O5:-0.35,-2.51,s10;O6:-1.07,-2.15,s10;O7:0.19,-2.51,s9;O8:-0.71,-1.25,s6;O9:0.37,-2.51,s4","O1:-0.17,-2.51,s17;O2:0.01,-2.51,s17;O3:-0.53,-1.25,s11;O4:-1.07,-1.97,s10;O5:-0.35,-2.51,s10;O6:-1.07,-2.15,s10;O7:0.19,-2.51,s9;O8:-0.71,-1.25,s6;O9:0.37,-2.51,s4"
0.7,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.13115,-1.85548,2.12343,-0.115,-1.842,2.087,0.03798,0.03743,-2.12,1.1,1.38646,0.402,0.02225,95.63321,NORMAL,0,0,0,9,9,120,9,9,22,120,0.27081,0.0,0,0,-1.46,-1.52,0,0,0.54174,1.32,0.9532,"O1:-0.17,-2.51,s21;O2:0.01,-2.51,s19;O3:-0.53,-1.25,s13;O4:-1.07,-1.97,s12;O5:-1.07,-2.15,s11;O6:0.19,-2.51,s11;O7:-0.35,-2.51,s10;O8:-0.71,-1.25,s8;O9:0.37,-2.51,s6","O1:-0.17,-2.51,s21;O2:0.01,-2.51,s19;O3:-0.53,-1.25,s13;O4:-1.07,-1.97,s12;O5:-1.07,-2.15,s11;O6:0.19,-2.51,s11;O7:-0.35,-2.51,s10;O8:-0.71,-1.25,s8;O9:0.37,-2.51,s6"
0.8,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.15664,-1.80969,2.25331,-0.135,-1.797,2.216,0.03646,0.03802,-2.12,1.1,1.35348,0.45367,0.03454,95.55802,NORMAL,0,0,0,10,11,138,11,11,24,138,0.31065,0.0,0,0,-1.46,-1.52,0,0,0.54915,1.27558,0.97172,"O1:-0.17,-2.51,s23;O2:0.01,-2.51,s23;O3:-0.53,-1.25,s15;O4:-1.07,-1.97,s14;O5:0.19,-2.51,s13;O6:-1.07,-2.15,s11;O7:-0.35,-2.51,s10;O8:-0.71,-1.25,s9;O9:0.37,-2.51,s6;O10:-0.89,-1.25,s2","O1:-0.17,-2.51,s23;O2:0.01,-2.51,s23;O3:-0.53,-1.25,s15;O4:-1.07,-1.97,s14;O5:0.19,-2.51,s13;O6:-1.07,-2.15,s11;O7:-0.35,-2.51,s10;O8:-0.71,-1.25,s9;O9:0.37,-2.51,s6;O10:-0.89,-1.25,s2"
0.9,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.18795,-1.76751,2.37303,-0.161,-1.755,2.34,0.03459,0.03868,-2.12,1.1,1.31603,0.45076,0.07451,95.48242,NORMAL,0,0,0,12,13,157,13,13,29,157,0.31494,0.0,0,0,-0.617,-0.738,1,0,0.48841,-0.49759,1.4769,"O1:0.01,-2.51,s26;O2:-0.17,-2.51,s25;O3:-0.53,-1.25,s18;O4:0.19,-2.51,s14;O5:-1.07,-1.97,s14;O6:-1.07,-2.15,s13;O7:-0.35,-2.51,s10;O8:-0.71,-1.25,s9;O9:0.37,-2.51,s8;O10:-1.07,-1.79,s3;O11:-0.89,-1.25,s3;O12:-0.53,-2.51,s2","O1:0.01,-2.51,s26;O2:-0.17,-2.51,s25;O3:-0.53,-1.25,s18;O4:0.19,-2.51,s14;O5:-1.07,-1.97,s14;O6:-1.07,-2.15,s13;O7:-0.35,-2.51,s10;O8:-0.71,-1.25,s9;O9:0.37,-2.51,s8;O10:-1.07,-1.79,s3;O11:-0.89,-1.25,s3;O12:-0.53,-2.51,s2"
1.05,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.24124,-1.71502,2.48393,-0.207,-1.702,2.45,0.03321,0.03975,-2.12,1.1,1.25418,0.37579,0.15514,95.38202,NORMAL,0,0,0,15,15,185,15,15,31,185,0.28361,0.0,0,0,-0.785,-1.765,1,0,0.15918,0.68085,2.23441,"O1:0.01,-2.51,s29;O2:-0.17,-2.51,s28;O3:-0.53,-1.25,s21;O4:0.19,-2.51,s17;O5:-1.07,-2.15,s15;O6:-1.07,-1.97,s14;O7:-0.71,-1.25,s12;O8:-0.35,-2.51,s10;O9:0.37,-2.51,s8;O10:-1.07,-1.79,s6;O11:-0.53,-2.51,s5;O12:0.55,-2.51,s3;O13:-0.89,-1.25,s3;O14:-0.53,-0.89,s3;O15:-0.71,-2.51,s2","O1:0.01,-2.51,s29;O2:-0.17,-2.51,s28;O3:-0.53,-1.25,s21;O4:0.19,-2.51,s17;O5:-1.07,-2.15,s15;O6:-1.07,-1.97,s14;O7:-0.71,-1.25,s12;O8:-0.35,-2.51,s10;O9:0.37,-2.51,s8;O10:-1.07,-1.79,s6;O11:-0.53,-2.51,s5;O12:0.55,-2.51,s3;O13:-0.89,-1.25,s3;O14:-0.53,-0.89,s3;O15:-0.71,-2.51,s2"
1.15,PID,GMAPPING_GRID,GMAPPING_GRID_OCCUPANCY,occupied_cells,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.26776,-1.69297,2.53125,-0.231,-1.679,2.509,0.03457,0.04035,-2.12,1.1,1.2178,0.34245,0.20041,95.35891,NORMAL,0,0,0,15,15,203,15,15,33,203,0.25772,0.0,0,0,-0.777,-1.766,1,0,0.10389,1.25455,2.43313,"O1:0.01,-2.51,s31;O2:-0.17,-2.51,s30;O3:-0.53,-1.25,s23;O4:0.19,-2.51,s19;O5:-1.07,-2.15,s15;O6:-1.07,-1.97,s14;O7:-0.71,-1.25,s12;O8:-0.35,-2.51,s10;O9:-1.07,-1.79,s8;O10:0.37,-2.51,s8;O11:-0.53,-2.51,s7;O12:-0.89,-1.25,s5;O13:-0.53,-0.89,s5;O14:-0.71,-2.51,s4;O15:0.55,-2.51,s3","O1:0.01,-2.51,s31;O2:-0.17,-2.51,s30;O3:-0.53,-1.25,s23;O4:0.19,-2.51,s19;O5:-1.07,-2.15,s15;O6:-1.07,-1.97,s14;O7:-0.71,-1.25,s12;O8:-0.35,-2.51,s10;O9:-1.07,-1.79,s8;O10:0.37,-2.51,s8;O11:-0.53,-2.51,s7;O12:-0.89,-1.25,s5;O13:-0.53,-0.89,s5;O14:-0.71,-2.51,s4;O15:0.55,-2.51,s3"
