t,control_mode,slam_algorithm,localization_mode,slam_feature_type,task_id,task_state,motion_mode,planner_mode,active_tool,b1_station,robot_x,robot_y,robot_theta,est_x,est_y,est_theta,pose_error,kalman_covariance,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,slam_feature_count,slam_landmarks,slam_updates,slam_new_landmarks,grid_occupied_cells,grid_free_cells,grid_updates,grid_entropy,scan_match_score,cartographer_submaps,loop_closures,planner_wp_x,planner_wp_y,planner_wp_active,planner_recovery_count,control_v,control_w,control_tv,slam_map,grid_map,phase2_state,phase2_scenario,phase2_compliance,phase2_moved_objects,phase2_motion_model,mapping_evidence_pct,map_revealed_pct,dynamic_obstacle_signal_x,dynamic_obstacle_signal_y,dynamic_obstacle_active,temporary_blocker_active,obstacle_crossings,replan_triggers,frontier_count,unknown_cells,mapped_landmark_count,mapping_update_count,mapped_occupied_cells,grid_mapping_update_count,dynamic_pallet_x,dynamic_pallet_y,dynamic_pallet_theta,temporary_blocker_x,temporary_blocker_y,temporary_blocker_theta
0.05,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09996,-2.05777,1.60561,-0.096,-2.054,1.607,0.00689,0.0361,-2.12,1.1,1.46328,-1.0,0.0,96.0,NORMAL,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.374,0.8976,0.5984,,,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,6.0,6.0,0.95,0.65,1,0,0,0,6,32,0,0,0,0,0.95,0.65,-1.98567,0.95,0.65,-1.98567
0.15,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09949,-2.04766,1.62029,-0.103,-2.048,1.623,0.00544,0.03834,-2.12,1.1,1.46088,0.71503,0.0,95.95381,NORMAL,0,0,0,0,2,4,2,2,4,4,0.60295,0.0,0,0,-1.46,-1.52,0,0,0.23562,1.27675,0.83156,,,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,11.45594,11.45594,0.94194,0.6317,1,0,0,0,6,32,2,4,2,4,0.94194,0.6317,-1.98567,0.94194,0.6317,-1.98567
0.3,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09744,-2.02811,1.69825,-0.105,-2.04,1.691,0.00838,0.04066,-2.12,1.1,1.45647,0.70057,0.0,95.89913,NORMAL,0,0,0,0,2,9,2,2,7,9,0.43248,0.0,0,0,-1.46,-1.52,0,0,0.24641,1.31858,0.85652,"O1:-0.53,-1.25,s4;O2:-0.71,-1.25,s4","O1:-0.53,-1.25,s4;O2:-0.71,-1.25,s4",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,11.52569,11.52569,0.92985,0.60424,1,0,0,0,6,32,2,9,2,9,0.92985,0.60424,-1.98567,0.92985,0.60424,-1.98567
0.45,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09764,-1.99241,1.84796,-0.118,-2.013,1.814,0.02202,0.04217,-2.12,1.1,1.44715,0.67618,0.0,95.84,NORMAL,0,0,0,0,2,13,2,2,7,13,0.35157,0.0,0,0,-1.46,-1.52,0,0,0.28664,1.31995,0.89709,"O1:-0.53,-1.25,s7;O2:-0.71,-1.25,s4","O1:-0.53,-1.25,s7;O2:-0.71,-1.25,s4",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,11.58134,11.58134,0.91775,0.57679,1,0,0,0,6,32,2,13,2,13,0.91775,0.57679,-1.98567,0.91775,0.57679,-1.98567
0.6,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.10567,-1.94758,2.03929,-0.125,-1.965,1.991,0.02329,0.04319,-2.12,1.1,1.42861,0.6341,0.0,95.77232,NORMAL,0,0,0,0,2,19,2,2,7,19,0.28971,0.0,0,0,-1.46,-1.52,0,0,0.33863,1.32,0.9491,"O1:-0.53,-1.25,s10;O2:-0.71,-1.25,s7","O1:-0.53,-1.25,s10;O2:-0.71,-1.25,s7",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,11.6646,11.6646,0.90566,0.54933,1,0,0,0,6,32,2,19,2,19,0.90566,0.54933,-1.98567,0.90566,0.54933,-1.98567
0.7,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.11748,-1.91613,2.16987,-0.131,-1.921,2.115,0.02289,0.04371,-2.12,1.1,1.41071,0.60356,0.0007,95.7219,NORMAL,0,0,0,0,3,23,3,3,7,23,0.2714,0.0,0,0,-1.46,-1.52,0,0,0.367,1.28155,0.98708,"O1:-0.53,-1.25,s12;O2:-0.71,-1.25,s8","O1:-0.53,-1.25,s12;O2:-0.71,-1.25,s8",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,14.41995,14.41995,0.8976,0.53103,1,0,0,0,6,32,3,23,3,23,0.8976,0.53103,-1.98567,0.8976,0.53103,-1.98567
0.8,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.13501,-1.88467,2.28913,-0.142,-1.897,2.227,0.01695,0.04414,-2.12,1.1,1.38773,0.56949,0.00664,95.66837,NORMAL,0,0,0,0,3,27,3,3,8,27,0.2628,0.0,0,0,-1.46,-1.52,0,0,0.3913,1.12507,1.0505,"O1:-0.53,-1.25,s15;O2:-0.71,-1.25,s8;O3:-0.89,-1.25,s2","O1:-0.53,-1.25,s15;O2:-0.71,-1.25,s8;O3:-0.89,-1.25,s2",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,14.47518,14.47518,0.88954,0.51272,1,0,0,0,6,32,3,27,3,27,0.88954,0.51272,-1.98567,0.88954,0.51272,-1.98567
0.9,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.15807,-1.85441,2.39261,-0.16,-1.865,2.334,0.01454,0.04451,-2.12,1.1,1.35984,0.53177,0.02025,95.61283,NORMAL,0,0,0,0,3,31,3,3,8,31,0.25998,0.0,0,0,-1.46,-1.52,0,0,0.40378,0.98199,1.09875,"O1:-0.53,-1.25,s17;O2:-0.71,-1.25,s10;O3:-0.89,-1.25,s2","O1:-0.53,-1.25,s17;O2:-0.71,-1.25,s10;O3:-0.89,-1.25,s2",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,14.53028,14.53028,0.88148,0.49442,1,0,0,0,6,32,3,31,3,31,0.88148,0.49442,-1.98567,0.88148,0.49442,-1.98567
1.05,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.19841,-1.81397,2.52106,-0.188,-1.832,2.491,0.00617,0.04498,-2.12,1.1,1.31098,0.47856,0.05204,95.52778,NORMAL,0,0,0,0,3,37,3,3,8,37,0.24789,0.0,0,0,-1.014,-1.755,1,0,0.1784,1.14783,1.45136,"O1:-0.53,-1.25,s20;O2:-0.71,-1.25,s12;O3:-0.89,-1.25,s3","O1:-0.53,-1.25,s20;O2:-0.71,-1.25,s12;O3:-0.89,-1.25,s3",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,14.61271,14.61271,0.86938,0.46697,1,0,0,1,6,32,3,37,3,37,0.86938,0.46697,-1.98567,0.86938,0.46697,-1.98567
1.15,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.21688,-1.79787,2.59394,-0.216,-1.812,2.572,0.01026,0.04514,-2.12,1.1,1.28344,0.44781,0.07713,95.49912,NORMAL,0,0,0,0,3,41,3,3,8,41,0.24142,0.0,0,0,-1.009,-1.756,1,0,0.17749,1.0358,1.48064,"O1:-0.53,-1.25,s23;O2:-0.71,-1.25,s12;O3:-0.89,-1.25,s4","O1:-0.53,-1.25,s23;O2:-0.71,-1.25,s12;O3:-0.89,-1.25,s4",RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,14.66751,14.66751,0.86132,0.44866,1,0,0,1,6,32,3,41,3,41,0.86132,0.44866,-1.98567,0.86132,0.44866,-1.98567
