t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,bill_state,bill_speed,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j
0.000,"NMPC",1.09602,1.09602,1.67608,0.51596,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,"WALKING",0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.050,"NMPC",1.09141,1.10060,1.67603,0.51601,0.82033,0.00033,0.00006,0.00810,0.00000,0.00002,0.00000,"WALKING",0.13001,0.00810,0.00810,0.08308,0.08308,0.08308,0.08308,0.08308,0.08308,0.02221,0.02221,0.00000,0.04441,0.00222
0.100,"NMPC",1.08678,1.10517,1.67577,0.51627,0.82676,0.00676,0.00014,0.01412,0.00000,0.00035,0.02830,"WALKING",0.13004,0.01412,0.01412,0.14486,0.14486,0.14486,0.14486,0.06178,0.06178,0.03394,0.03394,0.00000,0.06787,0.00561
0.150,"NMPC",1.08214,1.10972,1.67531,0.51675,0.83289,0.01289,0.00024,0.01990,0.00000,0.00100,0.04904,"WALKING",0.13008,0.01990,0.01990,0.20407,0.20407,0.20407,0.20407,0.05922,0.05922,0.04706,0.04706,0.00000,0.09412,0.01032
0.250,"NMPC",1.07278,1.11877,1.67365,0.51841,0.84425,0.02425,0.00056,0.03385,0.00000,0.00315,0.07414,"WALKING",0.13023,0.03385,0.03385,0.34722,0.34722,0.34722,0.34722,0.07544,0.07544,0.08921,0.08921,0.00000,0.17841,0.02588
0.350,"NMPC",1.03381,1.15559,1.67084,0.52124,0.90793,0.08793,0.00246,0.05154,-0.01028,0.00901,0.32033,"WALKING",0.13044,0.05324,0.04984,0.54606,0.51114,0.54606,0.51114,0.12187,0.08696,0.16576,0.15505,0.00152,0.32233,0.05302
0.450,"NMPC",1.01247,1.17498,1.66674,0.52538,0.90691,0.08691,0.00468,0.06908,-0.02934,0.01731,0.19906,"WALKING",0.13073,0.07393,0.06422,0.75831,0.65872,0.75831,0.65872,0.10126,0.06854,0.20794,0.18024,0.00407,0.39225,0.09080
0.550,"NMPC",1.02302,1.16480,1.66155,0.53065,0.90593,0.08593,0.00868,0.08397,-0.04178,0.02671,0.10217,"WALKING",0.13109,0.09089,0.07706,0.93219,0.79033,0.93219,0.79033,0.08019,0.05731,0.23298,0.19686,0.00406,0.43390,0.13428
0.600,"NMPC",1.01936,1.16796,1.65859,0.53368,0.89993,0.07993,0.01093,0.09142,-0.04541,0.03070,0.05332,"WALKING",0.13130,0.09894,0.08391,1.01472,0.86057,1.01472,0.86057,0.08253,0.07024,0.26627,0.22502,0.00237,0.49366,0.15896
0.650,"NMPC",1.01440,1.17227,1.65534,0.53702,0.90052,0.08052,0.01370,0.09820,-0.04929,0.03473,0.04416,"WALKING",0.13153,0.10635,0.09004,1.09082,0.92350,1.09082,0.92350,0.07610,0.06293,0.27497,0.23186,0.00275,0.50959,0.18444
0.700,"NMPC",1.00941,1.17657,1.65189,0.54059,0.90242,0.08242,0.01678,0.10437,-0.05132,0.03885,0.04282,"WALKING",0.13177,0.11286,0.09587,1.15753,0.98330,1.15753,0.98330,0.06671,0.05980,0.28089,0.23758,0.00150,0.51998,0.21044
0.750,"NMPC",1.00359,1.18156,1.64827,0.54435,0.90402,0.08402,0.02003,0.11108,-0.05318,0.04305,0.04045,"WALKING",0.13203,0.11988,0.10228,1.22956,1.04902,1.22956,1.04902,0.07203,0.06571,0.30973,0.26312,0.00142,0.57427,0.23915
0.800,"NMPC",0.98875,1.19439,1.64440,0.54838,0.90644,0.08644,0.02349,0.11719,-0.05488,0.04737,0.04221,"WALKING",0.13231,0.12627,0.10811,1.29512,1.10880,1.29512,1.10880,0.06556,0.05978,0.31416,0.26773,0.00135,0.58324,0.26832
0.850,"NMPC",0.97794,1.20353,1.64032,0.55268,0.92044,0.10044,0.02788,0.12385,-0.05644,0.05240,0.09450,"WALKING",0.13261,0.13320,0.11451,1.36610,1.17450,1.36610,1.17450,0.07099,0.06570,0.34411,0.29450,0.00127,0.63987,0.30031
0.900,"NMPC",0.96586,1.21365,1.63603,0.55720,0.92863,0.10863,0.03211,0.13127,-0.05786,0.05783,0.10976,"WALKING",0.13292,0.14084,0.12169,1.44453,1.24809,1.44453,1.24809,0.07843,0.07359,0.38193,0.32852,0.00119,0.71163,0.33589
0.950,"NMPC",0.95777,1.22022,1.63152,0.56200,0.93811,0.11811,0.03664,0.13825,-0.05917,0.06373,0.12732,"WALKING",0.13325,0.14805,0.12846,1.51843,1.31756,1.51843,1.31756,0.07390,0.06947,0.39183,0.33841,0.00111,0.73135,0.37246
1.050,"NMPC",0.95492,1.22199,1.62180,0.57243,0.93374,0.11374,0.04456,0.15253,-0.06145,0.07551,0.05453,"WALKING",0.13397,0.16270,0.14236,1.66874,1.46011,1.66874,1.46011,0.06922,0.06552,0.42083,0.36639,0.00097,0.78819,0.45227
1.100,"NMPC",0.95572,1.22106,1.61664,0.57802,0.93094,0.11094,0.04869,0.15875,-0.06245,0.08106,0.03024,"WALKING",0.13435,0.16909,0.14842,1.73425,1.52224,1.73425,1.52224,0.06552,0.06212,0.42838,0.37407,0.00090,0.80335,0.49244
1.150,"NMPC",0.95819,1.21881,1.61124,0.58378,0.92213,0.10213,0.05243,0.16327,-0.06337,0.08617,-0.01521,"WALKING",0.13475,0.17376,0.15278,1.78211,1.56699,1.78211,1.56699,0.04786,0.04476,0.39177,0.34245,0.00083,0.73505,0.52919
1.200,"NMPC",0.95789,1.21888,1.60573,0.58969,0.91090,0.09090,0.05588,0.16713,-0.06420,0.09071,-0.06127,"WALKING",0.13517,0.17776,0.15651,1.82316,1.60520,1.82316,1.60520,0.04105,0.03821,0.38213,0.33435,0.00077,0.71726,0.56505
1.250,"NMPC",0.95256,1.22305,1.60014,0.59581,0.90309,0.08309,0.05971,0.17089,-0.06186,0.09487,-0.08214,"WALKING",0.13561,0.18113,0.16066,1.85776,1.64776,1.85776,1.64776,0.03459,0.04256,0.38670,0.34091,0.00209,0.72970,0.60154
1.300,"NMPC",0.94719,1.22722,1.59447,0.60207,0.90155,0.08155,0.06417,0.17456,-0.05971,0.09895,-0.07083,"WALKING",0.13606,0.18444,0.16468,1.89173,1.68902,1.89173,1.68902,0.03397,0.04126,0.39131,0.34733,0.00185,0.74049,0.63856
1.350,"NMPC",0.94178,1.23137,1.58875,0.60841,0.89987,0.07987,0.06860,0.17631,-0.05775,0.10294,-0.06263,"WALKING",0.13653,0.18586,0.16675,1.90629,1.71025,1.90629,1.71025,0.01456,0.02123,0.33553,0.29901,0.00163,0.63617,0.67037
1.400,"NMPC",0.93634,1.23551,1.58296,0.61488,0.89813,0.07813,0.07300,0.17924,-0.05595,0.10685,-0.05652,"WALKING",0.13701,0.18850,0.16998,1.93335,1.74341,1.93335,1.74341,0.02706,0.03316,0.37763,0.33855,0.00145,0.71763,0.70625
1.450,"NMPC",0.92097,1.24734,1.57710,0.62146,0.89627,0.07627,0.07739,0.18167,-0.05430,0.11066,-0.05229,"WALKING",0.13752,0.19066,0.17268,1.95545,1.77109,1.95545,1.77109,0.02209,0.02768,0.36619,0.32971,0.00129,0.69718,0.74111
1.500,"NMPC",0.89872,1.26430,1.57113,0.62818,0.90677,0.08677,0.08317,0.18522,-0.05280,0.11500,0.00544,"WALKING",0.13804,0.19396,0.17649,1.98936,1.81011,1.98936,1.81011,0.03391,0.03902,0.40908,0.37028,0.00114,0.78051,0.78014
1.550,"NMPC",0.89824,1.26435,1.56505,0.63507,0.92563,0.10563,0.08996,0.18936,-0.05142,0.12028,0.08722,"WALKING",0.13857,0.19787,0.18085,2.02946,1.85489,2.02946,1.85489,0.04010,0.04478,0.43683,0.39731,0.00102,0.83515,0.82189
1.600,"NMPC",0.89275,1.26822,1.55884,0.64215,0.91686,0.09686,0.09376,0.19403,-0.05016,0.12512,0.02943,"WALKING",0.13912,0.20233,0.18573,2.07519,1.90490,2.07519,1.90490,0.04573,0.05001,0.46492,0.42482,0.00091,0.89066,0.86643
1.650,"NMPC",0.89710,1.26467,1.55254,0.64937,0.91413,0.09413,0.09828,0.19737,-0.04901,0.12983,0.01097,"WALKING",0.13969,0.20549,0.18926,2.10755,1.94116,2.10755,1.94116,0.03235,0.03627,0.42775,0.39204,0.00081,0.82061,0.90746
1.700,"NMPC",0.88925,1.27030,1.54617,0.65670,0.89899,0.07899,0.10134,0.19973,-0.04796,0.13378,-0.05808,"WALKING",0.14028,0.20766,0.19179,2.12990,1.96709,2.12990,1.96709,0.02235,0.02593,0.39860,0.36621,0.00073,0.76553,0.94573
1.750,"NMPC",0.87286,1.28214,1.53974,0.66414,0.89891,0.07891,0.10626,0.20212,-0.04699,0.13772,-0.04566,"WALKING",0.14088,0.20989,0.19434,2.15274,1.99321,2.15274,1.99321,0.02284,0.02612,0.40432,0.37245,0.00065,0.77742,0.98460
1.800,"NMPC",0.88273,1.27464,1.53324,0.67170,0.90921,0.08921,0.11256,0.20518,-0.04611,0.14218,0.00972,"WALKING",0.14150,0.21281,0.19755,2.18266,2.02613,2.18266,2.02613,0.02992,0.03291,0.43407,0.40104,0.00059,0.83569,1.02639
1.850,"NMPC",0.88392,1.27359,1.52670,0.67933,0.88696,0.06696,0.11477,0.20662,-0.04530,0.14553,-0.09032,"WALKING",0.14213,0.21411,0.19912,2.19605,2.04226,2.19605,2.04226,0.01339,0.01614,0.37956,0.35110,0.00053,0.73118,1.06295
1.900,"NMPC",0.87971,1.27646,1.52017,0.68699,0.87539,0.05539,0.11831,0.20699,-0.04456,0.14830,-0.12138,"WALKING",0.14278,0.21437,0.19962,2.19864,2.04736,2.19864,2.04736,0.00259,0.00510,0.34237,0.31695,0.00047,0.65979,1.09594
1.950,"NMPC",0.87381,1.28050,1.51361,0.69471,0.87043,0.05043,0.12277,0.20782,-0.04388,0.15082,-0.11647,"WALKING",0.14344,0.21509,0.20056,2.20601,2.05703,2.20601,2.05703,0.00737,0.00967,0.35981,0.33367,0.00043,0.69391,1.13063
2.050,"NMPC",0.86136,1.28892,1.50051,0.71025,0.86451,0.04451,0.13243,0.20762,-0.04270,0.15542,-0.09404,"WALKING",0.14481,0.21469,0.20056,2.20196,2.05700,2.20196,2.05700,0.00036,0.00228,0.33421,0.31042,0.00035,0.64498,1.19579
2.150,"NMPC",0.83205,1.30864,1.48755,0.72574,0.87228,0.05228,0.14436,0.20763,-0.03860,0.16015,-0.02081,"WALKING",0.14625,0.21402,0.20124,2.19507,2.06404,2.19507,2.06404,-0.00478,0.00740,0.33305,0.31155,0.00199,0.64659,1.26032
2.250,"NMPC",0.80844,1.32391,1.47457,0.74137,0.88329,0.06329,0.15662,0.20906,-0.03231,0.16617,0.03105,"WALKING",0.14774,0.21441,0.20372,2.19910,2.08940,2.19910,2.08940,0.00167,0.01186,0.35252,0.33356,0.00140,0.68747,1.32936
