t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,bill_state,bill_speed,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j
0.000,"PI",1.09602,1.09602,1.67608,0.51596,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,"WALKING",0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.050,"PI",1.09141,1.10060,1.67632,0.51572,0.82033,0.00033,0.00006,0.00006,0.00003,0.00002,0.00000,"WALKING",0.13001,0.00006,0.00007,0.00059,0.00069,0.00059,0.00069,0.00059,0.00069,0.00008,0.00010,0.00000,0.00018,0.00001
0.100,"PI",1.08678,1.10517,1.67651,0.51554,0.82717,0.00717,0.00013,0.00139,0.00011,0.00037,0.03007,"WALKING",0.13004,0.00137,0.00141,0.01410,0.01446,0.01410,0.01446,0.01351,0.01377,0.00223,0.00228,0.00000,0.00451,0.00023
0.150,"PI",1.08214,1.10972,1.67662,0.51544,0.83393,0.01393,0.00024,0.00361,0.00022,0.00107,0.05322,"WALKING",0.13008,0.00357,0.00365,0.03666,0.03740,0.03666,0.03740,0.02256,0.02294,0.00632,0.00645,0.00000,0.01277,0.00087
0.250,"PI",1.07278,1.11877,1.67653,0.51554,0.84710,0.02710,0.00052,0.00970,0.00057,0.00346,0.08389,"WALKING",0.13023,0.00960,0.00979,0.09849,0.10042,0.09849,0.10042,0.03304,0.03368,0.01866,0.01902,0.00000,0.03768,0.00396
0.350,"PI",1.03310,1.15626,1.67549,0.51659,0.92683,0.10683,0.00267,0.02957,0.00239,0.01047,0.39568,"WALKING",0.13044,0.02917,0.02996,0.29920,0.30732,0.29920,0.30732,0.16489,0.17032,0.12003,0.12331,0.00006,0.24340,0.01877
0.450,"PI",1.01965,1.16832,1.67285,0.51924,0.94643,0.12643,0.00382,0.05059,0.00426,0.02112,0.34659,"WALKING",0.13073,0.04989,0.05130,0.51168,0.52614,0.51168,0.52614,0.13266,0.13763,0.17988,0.18501,0.00009,0.36499,0.04719
0.550,"PI",1.01919,1.16829,1.66935,0.52274,0.91219,0.09219,0.00293,0.05713,0.00454,0.03077,0.08498,"WALKING",0.13109,0.05638,0.05788,0.57827,0.59368,0.57827,0.59368,0.01885,0.01924,0.09822,0.10089,0.00001,0.19911,0.06935
0.600,"PI",1.01424,1.17259,1.66749,0.52461,0.91621,0.09621,0.00321,0.05938,0.00488,0.03558,0.08395,"WALKING",0.13130,0.05857,0.06019,0.60075,0.61733,0.60075,0.61733,0.02248,0.02365,0.10590,0.10889,0.00002,0.21481,0.08009
0.650,"PI",1.00761,1.17835,1.66554,0.52657,0.92011,0.10011,0.00351,0.06189,0.00528,0.04059,0.08268,"WALKING",0.13153,0.06102,0.06277,0.62583,0.64376,0.62583,0.64376,0.02508,0.02644,0.11306,0.11637,0.00003,0.22946,0.09156
