t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j,follower_state,bill_state,bill_speed
0.05,PI,1.0960155108391487,1.0960155108391487,1.6760803127139863,0.5159562020576682,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INIT,WALKING,0.13
0.1,PI,1.0914095857811181,1.1006021606670997,1.6763191351933038,0.5157227440231769,0.8203316256722908,0.00033162567229083617,5.994760567551438e-05,6.237878884582048e-05,3.0573278894512336e-05,1.658128361454181e-05,0.0,5.7318911188778695e-05,6.743866650286227e-05,0.0005878862686028584,0.0006916786307985875,0.0005878862686028584,0.0006916786307985875,0.0005878862686028584,0.0006916786307985875,8.083850422843539e-05,9.511111610571825e-05,1.3460045506007519e-08,0.00017596308037965964,8.798154018982983e-06,TRACKING,WALKING,0.13000906540451962
0.15,PI,1.0867838201425495,1.10517009020167,1.6765079716939013,0.5155396131779785,0.8271657107299005,0.007165710729900576,0.00013431480698944398,0.0013922317422337977,0.00010774997510611817,0.0003748668201095706,0.030069974253482856,0.0013743991213537351,0.0014100643631138603,0.014096401244653693,0.014462198596039592,0.014096401244653693,0.014462198596039592,0.013508514976050835,0.013770519965241004,0.0022269295616234377,0.0022847494520182193,1.197473341762508e-07,0.004511798760975833,0.0002343880920677746,TRACKING,WALKING,0.13003625979182154
0.2,PI,1.0821376383999037,1.109719843725559,1.6766195255311462,0.5154350428334529,0.8339296579197478,0.013929657919747873,0.00023556632246535258,0.003610475207577462,0.00021986417074583062,0.0010713497160969644,0.05321594755304472,0.003574087687319027,0.003646862727835897,0.03665730961352848,0.03740372028549638,0.03665730961352848,0.03740372028549638,0.022560908368874782,0.022941521689456786,0.006319937760733762,0.006448790902196941,3.549584830055211e-07,0.01276908362141371,0.0008728422731384603,TRACKING,WALKING,0.1300815776835031
0.25,PI,1.077470455097715,1.1142519546276433,1.676630080619151,0.5154300038728329,0.84058499790235,0.020584997902350022,0.00037336352947869855,0.006444367165794376,0.00037739164923942067,0.002100599611214465,0.07079193501482434,0.006381908847845252,0.0065068254837435,0.0654554753625154,0.06673667162813846,0.0654554753625154,0.06673667162813846,0.02879816574898693,0.029332951342642077,0.011944509529239986,0.012178819045244673,8.56073590692816e-07,0.024124184648075354,0.0020790515055422276,TRACKING,WALKING,0.13014500995011935
0.3,PI,1.07278167509025,1.1187669451635391,1.6765251522530829,0.5155397007733711,0.8471009299728008,0.02710092997280089,0.0005247922033890795,0.009696966413493333,0.0005681610599345164,0.0034556461098545098,0.08388781042154682,0.009602935758074171,0.009790997068912495,0.09849164880076072,0.10042048275807687,0.09849164880076072,0.10042048275807687,0.03303617343824532,0.033683811129938415,0.018656006458303016,0.019022522837215318,1.5607836084039652e-06,0.03768009007912674,0.003963056009498565,TRACKING,WALKING,0.13022654381302246
0.35,PI,1.0193674440809117,1.1695754120756117,1.6762948797068087,0.5157761101883845,0.8534572599674947,0.03345725996749471,0.0006972965411575771,0.013226322660686072,0.0007947350190089652,0.005128509108229245,0.09340034410545933,0.013094794015040089,0.013357851306332056,0.1343055796414368,0.13700360314186724,0.1343055796414368,0.13700360314186724,0.03581393084067608,0.03658312038379037,0.026066611408735892,0.026592473385425336,2.5929541392763472e-06,0.05266167774830051,0.006596139896913589,TRACKING,WALKING,0.13032616284693574
0.4,PI,1.033102107500024,1.1562555431159802,1.6754868606992404,0.5165892522546429,0.9268264038244931,0.10682640382449315,0.0026727056085906753,0.029567797265669507,0.002393492549871463,0.010469829299453903,0.3956765013730515,0.02917167424866578,0.029963920282673234,0.29919665896067466,0.30732225930946905,0.29919665896067466,0.30732225930946905,0.16489107931923785,0.1703186561676018,0.12003430448923595,0.12330918621237869,5.510324504405211e-05,0.2433985939466587,0.018766069594246523,FOLLOWING,WALKING,0.13044384698326272
0.45,PI,1.0027223279731174,1.1844388477210994,1.6744024046052761,0.5176799504380274,0.9065490250433891,0.08654902504338913,0.002345679493059194,0.03741701652982183,0.0027932550586426573,0.014797280551623358,0.21940720443412243,0.03695473281761647,0.03787930024202719,0.37902290069350225,0.3885056435079711,0.37902290069350225,0.3885056435079711,0.0798262417328276,0.08118338419850207,0.10045943322121391,0.10299492412249771,1.6079596558283776e-05,0.2034704369402699,0.028939591441260015,FOLLOWING,WALKING,0.13057957251413005
0.5,PI,1.0196499102213756,1.1683246392657491,1.6728521354433241,0.5192360950350514,0.946425671910225,0.12642567191022502,0.00382129329822245,0.05059388807699589,0.004258285436382491,0.02111856414713461,0.3465948656726935,0.04988914183727459,0.0512986343167172,0.5116835060233291,0.5261398391458174,0.5116835060233291,0.5261398391458174,0.13266060532982688,0.1376341956378463,0.17988388287630733,0.18501168679000066,8.98346523079796e-05,0.364985404318616,0.047188861657190814,FOLLOWING,WALKING,0.1307333120971635
