t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j,follower_state,bill_state,bill_speed
0.05,PID,1.0960155108391487,1.0960155108391487,1.6760803127139863,0.5159562020576682,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INIT,WALKING,0.13
0.1,PID,1.0914095857811181,1.1006021606670997,1.6763180212187223,0.515723858302829,0.8203316256722908,0.00033162567229083617,5.994760567551438e-05,9.389151829863331e-05,4.436122819988065e-05,1.658128361454181e-05,0.0,8.654973503155307e-05,0.00010123330156571356,0.0008876895900672109,0.001038290272468857,0.0008876895900672109,0.001038290272468857,0.0008876895900672109,0.001038290272468857,0.00012251519419604958,0.00014330140695589246,2.8338027370587156e-08,0.0002658449391793126,1.3292246958965631e-05,TRACKING,WALKING,0.13000906540451962
0.15,PID,1.0867838201425495,1.10517009020167,1.676346768826439,0.5157008488226509,0.8271641351162279,0.007164135116227932,0.00013362554293605555,0.00592068749756758,0.00017265351853935586,0.0003747880394259384,0.030063041553323223,0.005892113340249317,0.005949261654885843,0.060431931694864785,0.061018068255239415,0.060431931694864785,0.061018068255239415,0.05954424210479757,0.05997977798277056,0.013935674269418951,0.014071052636662565,3.1896166073159525e-07,0.02800704586774225,0.0014136445403460784,TRACKING,WALKING,0.13003625979182154
0.2,PID,1.0821376383999037,1.109719843725559,1.676082170996881,0.5159725321226692,0.8337016594638629,0.013701659463862925,0.00023168009014185031,0.014251086931508854,0.00033779028804029146,0.0010598710126190848,0.05221427954118607,0.014195182638838186,0.014306991224179522,0.14559161680859678,0.14673837153004637,0.14559161680859678,0.14673837153004637,0.085159685113732,0.08572030327480695,0.03951194154186276,0.039824167625152854,8.03254995875005e-07,0.07933691242201149,0.005380490161446654,TRACKING,WALKING,0.1300815776835031
0.25,PID,1.077470455097715,1.1142519546276433,1.6755008652290968,0.5165595518686256,0.8398249685723215,0.019824968572321522,0.00036379224091476203,0.023187504287441076,0.0005564322075957622,0.002051119441235161,0.06766969811934297,0.023095414757083977,0.023279593817798174,0.2368760487906049,0.23876506479792997,0.2368760487906049,0.23876506479792997,0.09128443198200811,0.0920266932678836,0.06672463600567512,0.06725945131027516,1.7518954459856499e-06,0.13398583921139628,0.012079782122016467,TRACKING,WALKING,0.13014500995011935
0.3,PID,1.07278167509025,1.1187669451635391,1.6746179576363691,0.5174475023937107,0.8455037431955914,0.025503743195591455,0.0005068111472414927,0.0317053962819008,0.0008004316735652695,0.0033263066010147334,0.07776897287547523,0.03157292483992575,0.03183786772387585,0.3238248701530846,0.3265422330653933,0.3238248701530846,0.3265422330653933,0.0869488213624797,0.08777716826746335,0.08920550607146156,0.0899593943632467,2.812390572888069e-06,0.17916771282528116,0.021038167763280522,TRACKING,WALKING,0.13022654381302246
0.35,PID,1.0343201517053013,1.1553574455510687,1.6734648605547826,0.5186070492076331,0.8507596506898697,0.030759650689869744,0.0006687442603059424,0.03933211936803369,0.0010787669491268068,0.00486428913550822,0.08378579181769516,0.03915358343795321,0.03951065529811418,0.401575214748238,0.40523749023706845,0.401575214748238,0.40523749023706845,0.0777503445951534,0.07869525717167514,0.10505382661906132,0.10602079839853212,4.323728103147196e-06,0.21107894874569658,0.031592115200565346,TRACKING,WALKING,0.13032616284693574
0.4,PID,1.0348350460826994,1.1546215803918245,1.6706891651067377,0.521388050889653,0.9021956695162144,0.08219566951621449,0.002118092969072727,0.08522460190727171,0.0031422321402006436,0.008974072611318943,0.29167140045371914,0.08470456248806851,0.08574464132647491,0.8687647434673693,0.879432218733076,0.8687647434673693,0.879432218733076,0.46718952871913133,0.4741947284960075,0.7645198386315318,0.7739635890810384,9.336796766751563e-05,1.5385767956802376,0.10852095498457721,FOLLOWING,WALKING,0.13044384698326272
0.45,PID,1.0363761746032056,1.1529737095796488,1.6673275908485743,0.5247554155349985,0.8973823953954152,0.07738239539541525,0.002208132321808165,0.10181715023886605,0.0035769823880091086,0.012843192381089705,0.2063252862223843,0.10122515965365055,0.10240914082408155,1.038206765678467,1.0503501622982723,1.038206765678467,1.0503501622982723,0.16944202221109772,0.1709179435651963,0.42531371664279477,0.4303649320232571,2.2393353306146038e-05,0.855701042019358,0.1513060070855451,TRACKING,WALKING,0.13057957251413005
0.5,PID,1.0183851152466858,1.169497225731448,1.6640079808821142,0.5280799965429759,0.8903695382448836,0.07036953824488368,0.0021937589426053172,0.10062546197433687,0.0037603720876435774,0.016361669293333887,0.13007715179112084,0.10000312039383186,0.10124780355484189,1.0256730296803267,1.0384390108188912,1.0256730296803267,1.0384390108188912,-0.012533735998140338,-0.011911151479381044,0.16597986945753482,0.16812526863735566,9.930434510401864e-06,0.3341150685294009,0.16801176051201513,TRACKING,WALKING,0.1307333120971635
0.55,PID,1.0171684405794024,1.1703576306120824,1.6602483342995416,0.5318425988003642,0.9100796374664798,0.09007963746647984,0.0031596032143013097,0.11300156196844208,0.005212469965054551,0.020865651166657877,0.18818461497209743,0.11213889818922555,0.1138642257476586,1.1501425455305185,1.1678382127964984,1.1501425455305185,1.1678382127964984,0.12446951585019184,0.12939920197760713,0.39392539055622766,0.40011017478905286,0.00010899383864146799,0.794144559183922,0.20771898847121123,FOLLOWING,WALKING,0.1309050347609961
0.6,PID,1.0213858818205785,1.1662849370327921,1.6565107128476566,0.5355806713185224,0.9062302111255313,0.08623021112553131,0.0032498933509543804,0.11237757796849926,0.005590188746196938,0.02517716172293444,0.12984652377806244,0.11145240173100367,0.11330275420599485,1.143101556215422,1.162079530317896,1.143101556215422,1.162079530317896,-0.007040989315096446,-0.00575868247860245,0.17534829447716985,0.17839178134980507,3.0405877625799295e-05,0.35377048170460074,0.22540751255644126,FOLLOWING,WALKING,0.13109470591150768
0.65,PID,1.0212683472485153,1.1662340793533068,1.653240599935075,0.5388507190404827,0.895081796137845,0.07508179613784505,0.002951020177174968,0.09909651364138845,0.005346589347608815,0.028931251529826698,0.052227262601069205,0.0982116531043592,0.09998137417841771,1.0072990061985558,1.025449991573515,1.0072990061985558,1.025449991573515,-0.13580255001686625,-0.136629538744381,0.35880284369433046,0.36537995518721594,1.8754933673882475e-05,0.7242015538152202,0.2616175902472023,TRACKING,WALKING,0.13130228733879357
0.7,PID,1.0170775723956982,1.169869848544344,1.6504490414371311,0.5416418048192627,0.8905048056934537,0.07050480569345374,0.002893371130558986,0.08560812660663437,0.00531215285534471,0.03245649181449939,0.02059850687351226,0.08472896530907482,0.08648728790419392,0.8690150288110238,0.8870491067096813,0.8690150288110238,0.8870491067096813,-0.13828397738753206,-0.13840088486383362,0.31172309188310493,0.3182880518904235,2.6342195142070263e-06,0.6300137779930426,0.2931182791468545,TRACKING,WALKING,0.1315277372248625
0.75,PID,1.012100322621025,1.1741785161353913,1.6479221278905478,0.5441688125223441,0.8920929843454355,0.07209298434543554,0.0031137847202700186,0.07807289439630911,0.0056325571036217005,0.03606114103177117,0.023054821430059467,0.07714070619565973,0.0790050825969585,0.7911867302118947,0.8103085394559846,0.7911867302118947,0.8103085394559846,-0.0778282985991291,-0.07674056725369671,0.20766291444501134,0.2127747863324951,2.5987611235149125e-05,0.42046368838874154,0.3141414635662916,TRACKING,WALKING,0.1317710101520608
0.8,PID,1.0070952340745867,1.17847420010272,1.6454888849132068,0.5465997351706033,0.8950874787990247,0.07508747879902478,0.0034000792041113392,0.07537955393765156,0.006078821342873857,0.03981551497172241,0.031158536311239007,0.07437350900540593,0.07638559886989718,0.7628052205682659,0.7834420396912531,0.7628052205682659,0.7834420396912531,-0.028381509643628733,-0.026866499764731433,0.14066581827606317,0.14456837693787797,3.906375238263413e-05,0.2852732589663237,0.3284051265146078,TRACKING,WALKING,0.13203205711222193
0.85,PID,1.002061615391478,1.1827572742378352,1.6430488628684656,0.5490366244216097,0.8982270274626069,0.0782270274626069,0.0036979489162223267,0.07561313853558903,0.006574411619479868,0.043726866344852754,0.03811767244252777,0.0745250734125651,0.07670120365861295,0.76435972730836,0.7866790118832098,0.76435972730836,0.7866790118832098,0.0015545067400940527,0.003236972191956622,0.11071288257001682,0.11405104459843975,4.691828841148511e-05,0.22481084545686805,0.3396456687874512,TRACKING,WALKING,0.1323108255165394
0.9,PID,0.9929526825283262,1.1905314456943017,1.6405432165013605,0.5515355865836506,0.9013692436685556,0.08136924366855569,0.003990640850884297,0.07748898128493983,0.007085044039525963,0.04779532852828054,0.04355753581134632,0.07631640649639829,0.07866155607348138,0.7827323743220337,0.806785190497245,0.7827323743220337,0.806785190497245,0.018372647013673693,0.020106178614035186,0.13413998924798673,0.13837844965066812,5.209708585012269e-05,0.272570535984505,0.3532741955866765,FOLLOWING,WALKING,0.1326072592061609
0.95,PID,0.9808715906177814,1.20075889059724,1.637777580153898,0.5542927363556103,0.9097742619199768,0.08977426191997684,0.004644939089999411,0.08468689707797614,0.008107032223348815,0.05228404162427939,0.07095695823910315,0.0833451832450119,0.08602861091094037,0.8548223922565323,0.8823447272916961,0.8548223922565323,0.8823447272916961,0.07209001793449865,0.07555953679445115,0.22005300025104363,0.2272836536082506,0.0001193081923891237,0.44745596205168336,0.3756469936892607,FOLLOWING,WALKING,0.13292129846350176
