t,mode,task_id,task_state,motion_mode,active_tool,b1_station,robot_x,robot_y,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,pose_error,kalman_covariance,control_v,control_w,control_tv
0.05,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09973,-2.06,-2.12,1.1,1.42941,-1.0,0.0,96.0,NORMAL,0,0,0,0.00594,0.0361,0.0,0.462,0.1155
0.15,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09868,-2.05961,-2.12,1.1,1.43006,0.72085,0.0,95.99536,NORMAL,0,0,0,0.03665,0.01696,0.0,0.95749,0.23937
0.3,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09471,-2.05608,-2.12,1.1,1.43343,0.71983,0.0,95.98599,NORMAL,0,0,0,0.0283,0.01764,0.0,1.22045,0.30511
0.45,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08702,-2.05409,-2.12,1.1,1.44096,0.71945,0.0,95.97567,NORMAL,0,0,0,0.02025,0.01875,0.00012,1.29266,0.32328
0.6,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08104,-2.0496,-2.12,1.1,1.44849,0.71947,0.0,95.96324,NORMAL,0,0,0,0.01594,0.02135,0.03858,1.31249,0.3667
0.7,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.07954,-2.04252,-2.12,1.1,1.45264,0.71706,0.0,95.95063,NORMAL,0,0,0,0.02011,0.02198,0.05673,1.31683,0.38593
0.8,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08058,-2.03328,-2.12,1.1,1.45573,0.70938,0.0,95.93614,NORMAL,0,0,0,0.00815,0.02159,0.1075,1.31866,0.43717
0.9,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08832,-2.01888,-2.12,1.1,1.45571,0.69943,0.0,95.91308,NORMAL,0,0,0,0.02195,0.02215,0.1865,1.31943,0.51636
1.05,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.11315,-1.99233,-2.12,1.1,1.44527,0.66998,0.0,95.86114,NORMAL,0,0,0,0.01423,0.02118,0.28495,1.31984,0.61491
1.15,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.13781,-1.97425,-2.12,1.1,1.43206,0.64793,0.0,95.81642,NORMAL,0,0,0,0.01591,0.02083,0.34761,1.30682,0.68085
1.25,NMPC,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.17023,-1.95752,-2.12,1.1,1.41213,0.62357,0.0,95.76384,NORMAL,0,0,0,0.0224,0.02004,0.4113,1.20405,0.77024
1.35,NMPC,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.21056,-1.94442,-2.12,1.1,1.38445,0.5979,0.00127,95.7041,NORMAL,0,0,0,0.0183,0.01903,0.4646,1.06834,0.85747
1.45,NMPC,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.25661,-1.93592,-2.12,1.1,1.34898,0.58481,0.00322,95.6387,NORMAL,0,0,0,0.03344,0.01855,0.49659,0.92538,0.9252
1.55,NMPC,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.30557,-1.93225,-2.12,1.1,1.30829,0.61645,3e-05,95.57049,NORMAL,0,0,0,0.02845,0.01863,0.51011,0.79058,0.97242
1.65,NMPC,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.35557,-1.9329,-2.12,1.1,1.26437,0.55632,0.01055,95.50134,NORMAL,0,0,0,0.02097,0.01756,0.51582,0.68792,1.00379
1.75,NMPC,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.40587,-1.93735,-2.12,1.1,1.21848,0.55696,0.01034,95.43195,NORMAL,0,0,0,0.0507,0.01696,0.51823,0.58728,1.03136
1.85,NMPC,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.45613,-1.94515,-2.12,1.1,1.17118,0.56682,0.00736,95.36265,NORMAL,0,0,0,0.02935,0.01736,0.51925,0.51452,1.05057
1.95,NMPC,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.50562,-1.95565,-2.12,1.1,1.12296,0.55298,0.00361,95.29362,NORMAL,0,0,0,0.02257,0.01602,0.51405,0.45568,1.07049
