t,mode,task_id,task_state,motion_mode,active_tool,b1_station,robot_x,robot_y,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,pose_error,kalman_covariance,control_v,control_w,control_tv
0.05,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09973,-2.06,-2.12,1.1,1.42941,-1.0,0.0,96.0,NORMAL,0,0,0,0.00594,0.0361,0.0,0.8976,0.2244
0.15,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09868,-2.05961,-2.12,1.1,1.43006,0.72085,0.0,95.99386,NORMAL,0,0,0,0.03851,0.01696,0.0,1.27675,0.31919
0.3,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09471,-2.05605,-2.12,1.1,1.43343,0.71983,0.0,95.98328,NORMAL,0,0,0,0.02997,0.01758,0.0,1.31858,0.32965
0.45,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08765,-2.05394,-2.12,1.1,1.44059,0.7194,0.0,95.97261,NORMAL,0,0,0,0.02339,0.01881,0.00501,1.31995,0.335
0.6,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08414,-2.04627,-2.12,1.1,1.44701,0.71684,0.0,95.95506,NORMAL,0,0,0,0.01225,0.02128,0.06727,1.32,0.39727
0.7,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08364,-2.03757,-2.12,1.1,1.45051,0.71133,0.0,95.93942,NORMAL,0,0,0,0.0139,0.02101,0.06972,1.32,0.39972
0.8,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08528,-2.02731,-2.12,1.1,1.45331,0.70258,0.0,95.92357,NORMAL,0,0,0,0.02349,0.02135,0.25666,1.32,0.58666
0.9,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.0951,-2.0103,-2.12,1.1,1.45287,0.69068,0.0,95.87846,NORMAL,0,0,0,0.01668,0.02171,0.40867,1.32,0.73867
1.05,PID,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.13591,-1.97309,-2.12,1.1,1.4371,0.6507,0.0,95.7845,NORMAL,0,0,0,0.02426,0.02033,0.51486,1.32,0.84486
1.15,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.18089,-1.94716,-2.12,1.1,1.41019,0.6125,0.00015,95.71153,NORMAL,0,0,0,0.0051,0.01954,0.5464,1.32,0.8764
1.25,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.22922,-1.92651,-2.12,1.1,1.37605,0.57374,0.00557,95.63602,NORMAL,0,0,0,0.01013,0.01861,0.54963,1.24865,0.89747
1.35,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.27943,-1.91201,-2.12,1.1,1.3389,0.54451,0.01483,95.56054,NORMAL,0,0,0,0.01229,0.01748,0.54996,1.07593,0.94098
1.45,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.33167,-1.90386,-2.12,1.1,1.29806,0.55621,0.01059,95.48567,NORMAL,0,0,0,0.03236,0.01694,0.55,0.91915,0.98021
1.55,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.38489,-1.90106,-2.12,1.1,1.25376,0.51599,0.02814,95.41126,NORMAL,0,0,0,0.02064,0.01719,0.55,0.84489,0.99878
1.65,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.43834,-1.90282,-2.12,1.1,1.20734,0.51581,0.02824,95.3372,NORMAL,0,0,0,0.03874,0.01612,0.55,0.68974,1.03756
1.75,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.49167,-1.90885,-2.12,1.1,1.15924,0.52666,0.02265,95.26362,NORMAL,0,0,0,0.04115,0.01655,0.55,0.61421,1.05645
1.85,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.54462,-1.91845,-2.12,1.1,1.10971,0.51011,0.01555,95.19021,NORMAL,0,0,0,0.02493,0.01493,0.55,0.5833,1.0673
1.95,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.59696,-1.9312,-2.12,1.1,1.05931,0.50527,0.00875,95.11704,NORMAL,0,0,0,0.0306,0.01524,0.54944,0.4835,1.09281
2.1,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.67137,-1.95465,-2.12,1.1,0.98364,0.52172,0.00452,95.01016,NORMAL,0,0,0,0.05786,0.01559,0.51555,0.33103,1.16482
2.25,PID,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.73981,-1.98069,-2.12,1.1,0.91063,0.54072,0.00294,94.91026,NORMAL,0,0,0,0.06966,0.017,0.46188,0.28499,1.23413
